Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
08-07-2024;23:00:00;08-07-2024;23:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;23:15:00;08-07-2024;23:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
08-07-2024;23:15:00;08-07-2024;23:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;23:30:00;08-07-2024;23:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,021;kWh;Gevalideerd
08-07-2024;23:30:00;08-07-2024;23:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;23:45:00;09-07-2024;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
08-07-2024;23:45:00;09-07-2024;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:00:00;09-07-2024;00:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
09-07-2024;00:00:00;09-07-2024;00:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:15:00;09-07-2024;00:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
09-07-2024;00:15:00;09-07-2024;00:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:30:00;09-07-2024;00:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,021;kWh;Gevalideerd
09-07-2024;00:30:00;09-07-2024;00:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:45:00;09-07-2024;01:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,043;kWh;Gevalideerd
09-07-2024;00:45:00;09-07-2024;01:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:00:00;09-07-2024;01:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,048;kWh;Gevalideerd
09-07-2024;01:00:00;09-07-2024;01:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:15:00;09-07-2024;01:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
09-07-2024;01:15:00;09-07-2024;01:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:30:00;09-07-2024;01:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,027;kWh;Gevalideerd
09-07-2024;01:30:00;09-07-2024;01:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:45:00;09-07-2024;02:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
09-07-2024;01:45:00;09-07-2024;02:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;02:00:00;09-07-2024;02:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
09-07-2024;02:00:00;09-07-2024;02:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;02:15:00;09-07-2024;02:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
09-07-2024;02:15:00;09-07-2024;02:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;02:30:00;09-07-2024;02:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,016;kWh;Gevalideerd
09-07-2024;02:30:00;09-07-2024;02:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;02:45:00;09-07-2024;03:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,017;kWh;Gevalideerd
09-07-2024;02:45:00;09-07-2024;03:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;03:00:00;09-07-2024;03:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,017;kWh;Gevalideerd
09-07-2024;03:00:00;09-07-2024;03:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;03:15:00;09-07-2024;03:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,014;kWh;Gevalideerd
09-07-2024;03:15:00;09-07-2024;03:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;03:30:00;09-07-2024;03:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
09-07-2024;03:30:00;09-07-2024;03:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;03:45:00;09-07-2024;04:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,014;kWh;Gevalideerd
09-07-2024;03:45:00;09-07-2024;04:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;04:00:00;09-07-2024;04:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
09-07-2024;04:00:00;09-07-2024;04:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;04:15:00;09-07-2024;04:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,015;kWh;Gevalideerd
09-07-2024;04:15:00;09-07-2024;04:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;04:30:00;09-07-2024;04:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,016;kWh;Gevalideerd
09-07-2024;04:30:00;09-07-2024;04:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;04:45:00;09-07-2024;05:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,016;kWh;Gevalideerd
09-07-2024;04:45:00;09-07-2024;05:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;05:00:00;09-07-2024;05:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,015;kWh;Gevalideerd
09-07-2024;05:00:00;09-07-2024;05:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;05:15:00;09-07-2024;05:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,017;kWh;Gevalideerd
09-07-2024;05:15:00;09-07-2024;05:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;05:30:00;09-07-2024;05:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,014;kWh;Gevalideerd
09-07-2024;05:30:00;09-07-2024;05:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;05:45:00;09-07-2024;06:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,017;kWh;Gevalideerd
09-07-2024;05:45:00;09-07-2024;06:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;06:00:00;09-07-2024;06:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,016;kWh;Gevalideerd
09-07-2024;06:00:00;09-07-2024;06:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;06:15:00;09-07-2024;06:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,015;kWh;Gevalideerd
09-07-2024;06:15:00;09-07-2024;06:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;06:30:00;09-07-2024;06:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,017;kWh;Gevalideerd
09-07-2024;06:30:00;09-07-2024;06:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;06:45:00;09-07-2024;07:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,016;kWh;Gevalideerd
09-07-2024;06:45:00;09-07-2024;07:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;07:00:00;09-07-2024;07:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,092;kWh;Gevalideerd
09-07-2024;07:00:00;09-07-2024;07:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;07:15:00;09-07-2024;07:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,026;kWh;Gevalideerd
09-07-2024;07:15:00;09-07-2024;07:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;07:30:00;09-07-2024;07:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,059;kWh;Gevalideerd
09-07-2024;07:30:00;09-07-2024;07:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;07:45:00;09-07-2024;08:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,070;kWh;Gevalideerd
09-07-2024;07:45:00;09-07-2024;08:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;08:00:00;09-07-2024;08:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,050;kWh;Gevalideerd
09-07-2024;08:00:00;09-07-2024;08:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;08:15:00;09-07-2024;08:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,017;kWh;Gevalideerd
09-07-2024;08:15:00;09-07-2024;08:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;08:30:00;09-07-2024;08:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,020;kWh;Gevalideerd
09-07-2024;08:30:00;09-07-2024;08:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;08:45:00;09-07-2024;09:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,015;kWh;Gevalideerd
09-07-2024;08:45:00;09-07-2024;09:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;09:00:00;09-07-2024;09:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,017;kWh;Gevalideerd
09-07-2024;09:00:00;09-07-2024;09:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;09:15:00;09-07-2024;09:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;09:15:00;09-07-2024;09:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;09:30:00;09-07-2024;09:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;09:30:00;09-07-2024;09:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;09:45:00;09-07-2024;10:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;09:45:00;09-07-2024;10:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;10:00:00;09-07-2024;10:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
09-07-2024;10:00:00;09-07-2024;10:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;10:15:00;09-07-2024;10:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;10:15:00;09-07-2024;10:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;10:30:00;09-07-2024;10:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,011;kWh;Gevalideerd
09-07-2024;10:30:00;09-07-2024;10:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;10:45:00;09-07-2024;11:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;10:45:00;09-07-2024;11:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;11:00:00;09-07-2024;11:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
09-07-2024;11:00:00;09-07-2024;11:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;11:15:00;09-07-2024;11:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,015;kWh;Gevalideerd
09-07-2024;11:15:00;09-07-2024;11:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;11:30:00;09-07-2024;11:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,014;kWh;Gevalideerd
09-07-2024;11:30:00;09-07-2024;11:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;11:45:00;09-07-2024;12:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
09-07-2024;11:45:00;09-07-2024;12:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;12:00:00;09-07-2024;12:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,018;kWh;Gevalideerd
09-07-2024;12:00:00;09-07-2024;12:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;12:15:00;09-07-2024;12:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,012;kWh;Gevalideerd
09-07-2024;12:15:00;09-07-2024;12:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;12:30:00;09-07-2024;12:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;12:30:00;09-07-2024;12:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;12:45:00;09-07-2024;13:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,012;kWh;Gevalideerd
09-07-2024;12:45:00;09-07-2024;13:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;13:00:00;09-07-2024;13:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;13:00:00;09-07-2024;13:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;13:15:00;09-07-2024;13:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,086;kWh;Gevalideerd
09-07-2024;13:15:00;09-07-2024;13:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;13:30:00;09-07-2024;13:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,026;kWh;Gevalideerd
09-07-2024;13:30:00;09-07-2024;13:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;13:45:00;09-07-2024;14:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,014;kWh;Gevalideerd
09-07-2024;13:45:00;09-07-2024;14:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;14:00:00;09-07-2024;14:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,015;kWh;Gevalideerd
09-07-2024;14:00:00;09-07-2024;14:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;14:15:00;09-07-2024;14:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
09-07-2024;14:15:00;09-07-2024;14:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;14:30:00;09-07-2024;14:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;14:30:00;09-07-2024;14:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;14:45:00;09-07-2024;15:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,011;kWh;Gevalideerd
09-07-2024;14:45:00;09-07-2024;15:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;15:00:00;09-07-2024;15:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,017;kWh;Gevalideerd
09-07-2024;15:00:00;09-07-2024;15:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;15:15:00;09-07-2024;15:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,011;kWh;Gevalideerd
09-07-2024;15:15:00;09-07-2024;15:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;15:30:00;09-07-2024;15:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,017;kWh;Gevalideerd
09-07-2024;15:30:00;09-07-2024;15:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;15:45:00;09-07-2024;16:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,014;kWh;Gevalideerd
09-07-2024;15:45:00;09-07-2024;16:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;16:00:00;09-07-2024;16:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,020;kWh;Gevalideerd
09-07-2024;16:00:00;09-07-2024;16:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;16:15:00;09-07-2024;16:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,025;kWh;Gevalideerd
09-07-2024;16:15:00;09-07-2024;16:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;16:30:00;09-07-2024;16:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,099;kWh;Gevalideerd
09-07-2024;16:30:00;09-07-2024;16:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;16:45:00;09-07-2024;17:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,034;kWh;Gevalideerd
09-07-2024;16:45:00;09-07-2024;17:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;17:00:00;09-07-2024;17:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,022;kWh;Gevalideerd
09-07-2024;17:00:00;09-07-2024;17:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;17:15:00;09-07-2024;17:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,014;kWh;Gevalideerd
09-07-2024;17:15:00;09-07-2024;17:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;17:30:00;09-07-2024;17:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,016;kWh;Gevalideerd
09-07-2024;17:30:00;09-07-2024;17:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;17:45:00;09-07-2024;18:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,015;kWh;Gevalideerd
09-07-2024;17:45:00;09-07-2024;18:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;18:00:00;09-07-2024;18:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,120;kWh;Gevalideerd
09-07-2024;18:00:00;09-07-2024;18:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;18:15:00;09-07-2024;18:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,134;kWh;Gevalideerd
09-07-2024;18:15:00;09-07-2024;18:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;18:30:00;09-07-2024;18:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,040;kWh;Gevalideerd
09-07-2024;18:30:00;09-07-2024;18:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;18:45:00;09-07-2024;19:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,025;kWh;Gevalideerd
09-07-2024;18:45:00;09-07-2024;19:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;19:00:00;09-07-2024;19:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,030;kWh;Gevalideerd
09-07-2024;19:00:00;09-07-2024;19:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;19:15:00;09-07-2024;19:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,029;kWh;Gevalideerd
09-07-2024;19:15:00;09-07-2024;19:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;19:30:00;09-07-2024;19:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,050;kWh;Gevalideerd
09-07-2024;19:30:00;09-07-2024;19:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;19:45:00;09-07-2024;20:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,044;kWh;Gevalideerd
09-07-2024;19:45:00;09-07-2024;20:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;20:00:00;09-07-2024;20:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,047;kWh;Gevalideerd
09-07-2024;20:00:00;09-07-2024;20:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;20:15:00;09-07-2024;20:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,048;kWh;Gevalideerd
09-07-2024;20:15:00;09-07-2024;20:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;20:30:00;09-07-2024;20:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,045;kWh;Gevalideerd
09-07-2024;20:30:00;09-07-2024;20:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;20:45:00;09-07-2024;21:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,056;kWh;Gevalideerd
09-07-2024;20:45:00;09-07-2024;21:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;21:00:00;09-07-2024;21:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,058;kWh;Gevalideerd
09-07-2024;21:00:00;09-07-2024;21:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;21:15:00;09-07-2024;21:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,052;kWh;Gevalideerd
09-07-2024;21:15:00;09-07-2024;21:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;21:30:00;09-07-2024;21:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,098;kWh;Gevalideerd
09-07-2024;21:30:00;09-07-2024;21:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;21:45:00;09-07-2024;22:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,036;kWh;Gevalideerd
09-07-2024;21:45:00;09-07-2024;22:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-07-2024;22:00:00;09-07-2024;22:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,043;kWh;Gevalideerd
09-07-2024;22:00:00;09-07-2024;22:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;22:15:00;09-07-2024;22:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,073;kWh;Gevalideerd
